creation_date,barcode,material,material_description,brand,material_group,prodhier,MTART,material_category,size,supplier,date_received,cost,srp,gp
5/19/2020,8.851E+12,TMHD5173,WALL PAPER RL-8023 0.45X10M,Generic Home and Living,Home and Living,Wall Art & Decor,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,125.53,180,0.302611111
5/19/2020,8.851E+12,TMHD5174,WALL PAPER RL-905-1 0.45X10M,Generic Home and Living,Home and Living,Wall Art & Decor,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,125.53,180,0.302611111
5/19/2020,8.851E+12,TMHD5175,WALL PAPER ZW16 0.45X10M,Generic Home and Living,Home and Living,Wall Art & Decor,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,125.53,180,0.302611111
5/19/2020,8.851E+12,TMHD5176,WALL PAPER ZW18 0.45X10M,Generic Home and Living,Home and Living,Wallpaper,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,125.53,45,-1.789555556
5/19/2020,8.851E+12,TMHD5177,(FPO) WALL STICKER AY-K9088 60X90,Generic Home and Living,Home and Living,Wallpaper,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,36.71,18,-1.039444444
5/19/2020,8.851E+12,TMHD5178,(FPO) WALL STICKER AY-P27 104X200,Generic Home and Living,Home and Living,Wallpaper,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,422.43,44,-8.600681818
5/19/2020,8.851E+12,TMHD5179,(FPO) WALL STICKER AY-P27 52X100,Generic Home and Living,Home and Living,Wallpaper,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,185.69,67,-1.771492537
5/19/2020,8.851E+12,TMHD5180,(FPO) WALL STICKER AY-P27 78X150,Generic Home and Living,Home and Living,Wallpaper,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,303.24,112,-1.7075
5/19/2020,8.851E+12,TMHD5181,(FPO) WALL STICKER AY-Z8001 75X250,Generic Home and Living,Home and Living,Wallpaper,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,308.44,123,-1.507642276
5/19/2020,8.851E+12,TMHD5182,(FPO) WALL STICKER AY-Z8427 114X57,Generic Home and Living,Home and Living,Wallpaper,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,147.15,59,-1.494067797
5/19/2020,8.851E+12,TMHD5183,WCLAD BLKBRD MOUNT STATE 50X20,Generic Floor and Wall Coverings,Floor and Wall Cover,Tile Grout,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,804.89,1150,0.300095652
5/19/2020,8.851E+12,TMHD5184,WCLAD BLKBRD MUSHROOM 10X20,Generic Floor and Wall Coverings,Floor and Wall Cover,Tile Grout,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,676.83,965,0.298621762
5/19/2020,8.851E+12,TMHD5185,WCLAD CINDERELLA NAT SURF/GLS 15X60,Generic Floor and Wall Coverings,Floor and Wall Cover,Tile Grout,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,1436,2060,0.302912621
5/19/2020,8.851E+12,TMHD5186,WCLAD DEMI NATURAL SURFACE 15X60,Generic Floor and Wall Coverings,Floor and Wall Cover,Tile Grout,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,1478.36,2115,0.30101182
5/19/2020,8.851E+12,TMHD5187,WCLAD GREEN QUARTZ 5 COMBI BOARD,Generic Floor and Wall Coverings,Floor and Wall Cover,Tile Grout,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,1060.99,1520,0.301980263
5/19/2020,8.851E+12,TMHD5188,WCLAD GRN RUST MOUNT STATE 15X20,Generic Floor and Wall Coverings,Floor and Wall Cover,Tile Grout,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,719.52,1030,0.301436893
5/19/2020,8.851E+12,TMHD5189,WCLAD JAZZ WHT NAT SURF 15X60,Generic Floor and Wall Coverings,Floor and Wall Cover,Tile Grout,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,1690.15,2420,0.301590909
5/19/2020,8.851E+12,TMHD5190,(FPO) WCLAD PINK CRYSTAL MUSHROOM 10X20,Generic Floor and Wall Coverings,Floor and Wall Cover,Stone Cladding,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,804.89,125,-5.43912
5/19/2020,8.851E+12,TMHD5191,WCLAD POWDER QUARTZ 5COMB BRD 15X60,Generic Floor and Wall Coverings,Floor and Wall Cover,Tile Grout,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,1060.99,1520,0.301980263
5/19/2020,8.851E+12,TMHD5192,WCLAD RUST QUARTZ 5 COMBI BRD 15X60,Generic Floor and Wall Coverings,Floor and Wall Cover,Tile Grout,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,1146.35,1640,0.301006098
5/19/2020,8.851E+12,TMHD5193,WCLAD SAHARA NATURAL SURFACE 15X60,Generic Floor and Wall Coverings,Floor and Wall Cover,Tile Grout,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,1393.65,1995,0.301428571
5/19/2020,8.851E+12,TMHD5194,WCLAD YLW WOOD GRN 4 COMB BRD 15X60,Generic Floor and Wall Coverings,Floor and Wall Cover,Tile Grout,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,1146.35,1640,0.301006098
5/19/2020,8.851E+12,TMHD5195,WHITE WASHSTONE 4MM-6MM,Generic Floor and Wall Coverings,Outdoor Living,Pebbles,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,15.24,10,-0.524
5/19/2020,8.851E+12,TMHD5196,(FPO) WIL BARREL BOLT 2  1/2 2PC,Generic Hardware,Hardware,Door Bolts,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,48.4,29,-0.668965517
5/19/2020,8.851E+12,TMHD5197,WIL TOX 8 25PC,Generic Hardware,Hardware,Tox and Screws,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,24.3,9,-1.7
5/19/2020,8.851E+12,TMHD5198,WIL WOOD SCREW 6X3/4 50PC,Generic Hardware,Hardware,Tox and Screws,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,17.5,7,-1.5
5/19/2020,8.851E+12,TMHD5199,XYY385-11 GRY SHINY ZIGZAG GRMT 54X95,Generic Home and Living,Home and Living,Bed & Pillow Covers,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,438.75,157,-1.794585987
5/19/2020,8.851E+12,TMHD5200,(FPO) XYY477-8 SLVR JACQ GRMMT 54X95,Generic Home and Living,Home and Living,Bed & Pillow Covers,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,438.75,61,-6.192622951
5/19/2020,8.851E+12,TMHD5201,(FPO) YELLOWISH WATER WASHINGSTONE,Generic Floor and Wall Coverings,Outdoor Living,Pebbles,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,16.61,7,-1.372857143
5/19/2020,8.851E+12,TMHD5202,YJ14-149 OVAL MTL TUB SHINY BLK 13.5,Generic Home and Living,Outdoor Living,Water Sprinkler,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,213.75,78,-1.740384615
5/19/2020,8.851E+12,TMHD5203,(FPO)YJ16-345 OVAL MTL POT MATT YLW 11CM,Generic Home and Living,Outdoor Living,Water Sprinkler,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,116.25,28,-3.151785714
5/19/2020,8.851E+12,TMHD5204,(FPO) YJ16-347 OVAL MTL POT MT PINK,Generic Home and Living,Outdoor Living,Water Sprinkler,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,210,64,-2.28125
5/19/2020,8.851E+12,TMHD5205,YJ16-428 RND MTL POT MATT GRN 14.5,Generic Home and Living,Home and Living,Bedroom Furniture,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,78.75,115,0.315217391
5/19/2020,8.851E+12,TMHD5206,YJ16-594 WATER CAN 12CM MATT WHT,Generic Home and Living,Home and Living,Bedroom Furniture,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,210,300,0.3
